"1 HOUR BEFORE","1 DAY BEFORE","OUTPUT"
"6258.582","6499.72836","5555.5632"
"5555.5632","6696.13716","7962.97392"
"7962.97392","6319.99872","8264.7576"
"8264.7576","5986.72728","8058.996"
"8058.996","5623.371","7373.124"
"7373.124","5935.9104","7064.4816"
"7064.4816","6903.5852580942","6755.8392"
"6755.8392","6905.4643107947","5467.64688"
"5467.64688","6907.3433634953","5294.62008"
"5294.62008","6909.2224161958","5237.568"
"5237.568","6911.1014688964","5156.19864"
"5156.19864","6912.9805215969","5624.1504"
"5624.1504","6914.8595742975","6292.8756"
"6292.8756","6916.738626998","7340.07744"
"7340.07744","6918.6176796986","7321.6836"
"7321.6836","6920.4967323992","6721.5456"
"6721.5456","6922.3757850997","6755.8392"
"6755.8392","6924.2548378003","6395.7564"
"6395.7564","6926.1338905008","6367.38624"
"6367.38624","6928.0129432014","6367.38624"
"6367.38624","6929.8919959019","6429.2706"
"6429.2706","6931.7710486025","6394.04172"
"6394.04172","6933.650101303","6358.81284"
"6358.81284","6935.5291540036","6429.2706"
"6429.2706","6937.4082067041","6499.72836"
"6499.72836","6939.2872594047","6696.13716"
"6696.13716","6941.1663121052","6319.99872"
"6319.99872","6943.0453648058","5986.72728"
"5986.72728","6944.9244175063","5623.371"
"5623.371","6946.8034702069","5935.9104"
"5935.9104","6948.6825229074","6903.5852580942"
"6903.5852580942","6950.561575608","6905.4643107947"
"6905.4643107947","6952.4406283085","6907.3433634953"
"6907.3433634953","6954.3196810091","6909.2224161958"
"6909.2224161958","6956.1987337096","6911.1014688964"
"6911.1014688964","6958.0777864102","6912.9805215969"
"6912.9805215969","6959.9568391107","6914.8595742975"
"6914.8595742975","6961.8358918113","6916.738626998"
"6916.738626998","6963.7149445119","6918.6176796986"
"6918.6176796986","6965.5939972124","6920.4967323992"
"6920.4967323992","6967.473049913","6922.3757850997"
"6922.3757850997","6969.3521026135","6924.2548378003"
"6924.2548378003","6971.2311553141","6926.1338905008"
"6926.1338905008","6973.1102080146","6928.0129432014"
"6928.0129432014","6974.9892607152","6929.8919959019"
"6929.8919959019","6976.8683134157","6931.7710486025"
"6931.7710486025","6978.7473661163","6933.650101303"
"6933.650101303","6980.6264188168","6935.5291540036"
"6935.5291540036","6982.5054715174","6937.4082067041"
"6937.4082067041","6984.3845242179","6939.2872594047"
"6939.2872594047","6986.2635769185","6941.1663121052"
"6941.1663121052","6988.142629619","6943.0453648058"
"6943.0453648058","6990.0216823196","6944.9244175063"
"6944.9244175063","6991.9007350201","6946.8034702069"
"6946.8034702069","6993.7797877207","6948.6825229074"
"6948.6825229074","6995.6588404212","6950.561575608"
"6950.561575608","6997.5378931218","6952.4406283085"
"6952.4406283085","6999.4169458223","6954.3196810091"
"6954.3196810091","7001.2959985229","6956.1987337096"
"6956.1987337096","7003.1750512235","6958.0777864102"
"6958.0777864102","7005.054103924","6959.9568391107"
"6959.9568391107","7006.9331566246","6961.8358918113"
"6961.8358918113","7008.8122093251","6963.7149445119"
"6963.7149445119","7010.6912620257","6965.5939972124"
"6965.5939972124","7012.5703147262","6967.473049913"
"6967.473049913","7014.4493674268","6969.3521026135"
"6969.3521026135","7016.3284201273","6971.2311553141"
"6971.2311553141","7018.2074728279","6973.1102080146"
"6973.1102080146","7020.0865255284","6974.9892607152"
"6974.9892607152","7021.965578229","6976.8683134157"
"6976.8683134157","7023.8446309295","6978.7473661163"
"6978.7473661163","7025.7236836301","6980.6264188168"
"6980.6264188168","7027.6027363306","6982.5054715174"
"6982.5054715174","7029.4817890312","6984.3845242179"
"6984.3845242179","7031.3608417317","6986.2635769185"
"6986.2635769185","7033.2398944323","6988.142629619"
"6988.142629619","7035.1189471328","6990.0216823196"
"6990.0216823196","7036.9979998334","6991.9007350201"
"6991.9007350201","7038.8770525339","6993.7797877207"
"6993.7797877207","7040.7561052345","6995.6588404212"
"6995.6588404212","7042.6351579351","6997.5378931218"
"6997.5378931218","7044.5142106356","6999.4169458223"
"6999.4169458223","4315.5378","7001.2959985229"
"7001.2959985229","4474.06776","7003.1750512235"
"7003.1750512235","4801.104","7005.054103924"
"7005.054103924","5342.31936","7006.9331566246"
"7006.9331566246","5813.70048","7008.8122093251"
"7008.8122093251","5725.94004","7010.6912620257"
"7010.6912620257","5199.22152","7012.5703147262"
"7012.5703147262","5841.75888","7014.4493674268"
"7014.4493674268","5993.27424","7016.3284201273"
"7016.3284201273","6262.63488","7018.2074728279"
"7018.2074728279","5976.4392","7020.0865255284"
"7020.0865255284","5759.92188","7021.965578229"
"7021.965578229","5349.8016","7023.8446309295"
"7023.8446309295","5538.4164","7025.7236836301"
"7025.7236836301","5761.3248","7027.6027363306"
"7027.6027363306","7373.74752","7029.4817890312"
"7029.4817890312","7577.95032","7031.3608417317"
"7031.3608417317","7238.13192","7033.2398944323"
"7033.2398944323","6881.3226","7035.1189471328"
"7035.1189471328","6541.5042","7036.9979998334"
"7036.9979998334","5606.06832","7038.8770525339"
"7038.8770525339","5381.13348","7040.7561052345"
"7040.7561052345","5185.19232","7042.6351579351"
"7042.6351579351","4949.65764","7044.5142106356"
"7044.5142106356","4914.42876","4315.5378"
"4315.5378","4965.86916","4474.06776"
"4474.06776","5208.10668","4801.104"
"4801.104","6001.38","5342.31936"
"5342.31936","6936.03648","5813.70048"
"5813.70048","7070.7168","5725.94004"
"5725.94004","6771.73896","5199.22152"
"5199.22152","6204.64752","5841.75888"
"5841.75888","6144.7896","5993.27424"
"5993.27424","6178.45968","6262.63488"
"6262.63488","6018.5268","5976.4392"
"5976.4392","5932.7928","5759.92188"
"5759.92188","5812.7652","5349.8016"
"5349.8016","6320.62224","5538.4164"
"5538.4164","7509.98664","5761.3248"
"5761.3248","7929.30384","7373.74752"
"7373.74752","8325.5508","7577.95032"
"7577.95032","8384.7852","7238.13192"
"7238.13192","7373.124","6881.3226"
"6881.3226","6618.6648","6541.5042"
"6541.5042","5900.99328","5606.06832"
"5606.06832","5604.19776","5381.13348"
"5381.13348","5349.8016","5185.19232"
"5185.19232","6652.9584","4949.65764"
"4949.65764","5255.02656","4914.42876"
"4914.42876","5412.1536","4965.86916"
"4965.86916","5949.9396","5208.10668"
"5208.10668","7187.15916","6001.38"
"6001.38","7883.78688","6936.03648"
"6936.03648","7136.1864","7070.7168"
"7070.7168","6618.6648","6771.73896"
"6771.73896","6721.5456","6204.64752"
"6204.64752","6678.83448","6144.7896"
"6144.7896","6337.61316","6178.45968"
"6178.45968","6532.9308","6018.5268"
"6018.5268","6635.8116","5932.7928"
"5932.7928","6436.59696","5812.7652"
"5812.7652","5156.19864","6320.62224"
"6320.62224","8083.31328","7509.98664"
"7509.98664","8599.43196","7929.30384"
"7929.30384","8599.43196","8325.5508"
"8325.5508","8339.89176","8384.7852"
"8384.7852","7943.6448","7373.124"
"7373.124","7450.90812","6618.6648"
"6618.6648","6605.415","5900.99328"
"5900.99328","5704.27272","5604.19776"
"5604.19776","5544.33984","5349.8016"
"5349.8016","5633.19144","6652.9584"
"6652.9584","5671.84968","5255.02656"
"5255.02656","5830.37964","5412.1536"
"5412.1536","6411.65616","5949.9396"
"5949.9396","7734.14208","7187.15916"
"7187.15916","5250.19428","7883.78688"
"7883.78688","6550.0776","7136.1864"
"7136.1864","6635.8116","6618.6648"
"6618.6648","6824.4264","6721.5456"
"6721.5456","6824.4264","6678.83448"
"6678.83448","6601.518","6337.61316"
"6337.61316","5881.3524","6532.9308"
"6532.9308","6567.2244","6635.8116"
"6635.8116","6378.6096","6436.59696"
"6436.59696","6575.0184","5156.19864"
"5156.19864","7526.6658","8083.31328"
"8083.31328","7818.9408","8599.43196"
"8599.43196","8080.35156","8599.43196"
"8599.43196","7907.32476","8339.89176"
"8339.89176","7577.01504","7943.6448"
"7943.6448","7192.92672","7450.90812"
"7450.90812","6756.46272","6605.415"
"6605.415","6250.16448","5704.27272"
"5704.27272","5900.8374","5544.33984"
"5544.33984","5830.37964","5633.19144"
"5633.19144","5900.8374","5671.84968"
"5671.84968","5971.29516","5830.37964"
"5830.37964","6059.36736","6411.65616"
"6411.65616","7578.8856","7734.14208"
"7734.14208","7098.7752","5250.19428"
"5250.19428","5892.264","6550.0776"
"6550.0776","6490.53144","6635.8116"
"6635.8116","6456.5496","6824.4264"
"6824.4264","5369.13072","6824.4264"
"6824.4264","5131.25784","6601.518"
"6601.518","5058.306","5881.3524"
"5881.3524","5058.306","6567.2244"
"6567.2244","6354.60408","6378.6096"
"6378.6096","6966.2772","6575.0184"
"6575.0184","7781.84136","7526.6658"
"7526.6658","8518.53024","7818.9408"
"7818.9408","8501.6952","8080.35156"
"8080.35156","8325.5508","7907.32476"
"7907.32476","7665.08724","7577.01504"
"7577.01504","7227.84384","7192.92672"
"7192.92672","6808.8384","6756.46272"
"6756.46272","6217.89732","6250.16448"
"6250.16448","5813.70048","5900.8374"
"5900.8374","5513.31972","5830.37964"
"5830.37964","5460.4764","5900.8374"
"5900.8374","5654.23524","5971.29516"
"5971.29516","6446.88504","6059.36736"
"6059.36736","7315.13664","7578.8856"
"7578.8856","7646.84928","7098.7752"
"7098.7752","6762.38616","5892.264"
"5892.264","6728.40432","6490.53144"
"6490.53144","6558.49512","6456.5496"
"6456.5496","5229.774","5369.13072"
"5369.13072","5058.306","5131.25784"
"5131.25784","5125.80204","5058.306"
"5058.306","5104.2906","5058.306"
"5058.306","4259.88864","6354.60408"
"6354.60408","3581.65476","6966.2772"
"6966.2772","4818.2508","7781.84136"
"7781.84136","3532.2408","8518.53024"
"8518.53024","8573.4","8501.6952"
"8501.6952","8053.69608","8325.5508"
"8325.5508","7664.6196","7665.08724"
"7665.08724","6995.8944","7227.84384"
"7227.84384","6481.4904","6808.8384"
"6808.8384","6110.496","6217.89732"
"6217.89732","5796.24192","5813.70048"
"5813.70048","5516.90496","5513.31972"
"5513.31972","5401.242","5460.4764"
"5460.4764","5572.71","5654.23524"
"5654.23524","6344.316","6446.88504"
"6446.88504","7525.26288","7315.13664"
"7315.13664","7323.2424","7646.84928"
"7646.84928","8053.69608","6762.38616"
"6762.38616","8087.67792","6728.40432"
"6728.40432","5165.23968","6558.49512"
"6558.49512","5281.2144","5229.774"
"5229.774","5161.1868","5058.306"
"5058.306","5377.23648","5125.80204"
"5125.80204","5255.02656","5104.2906"
"5104.2906","5324.8608","4259.88864"
"4259.88864","7197.91488","3581.65476"
"3581.65476","8357.19444","4818.2508"
"4818.2508","8668.64268","3532.2408"
"3532.2408","8607.6936","8573.4"
"8573.4","8281.9044","8053.69608"
"8053.69608","7595.87652","7664.6196"
"7664.6196","7221.9204","6995.8944"
"6995.8944","6482.11392","6481.4904"
"6481.4904","5953.36896","6110.496"
"6110.496","5761.3248","5796.24192"
"5796.24192","5830.37964","5516.90496"
"5516.90496","5615.42112","5401.242"
"5401.242","5830.37964","5572.71"
"5572.71","6162.87168","6344.316"
"6344.316","7028.16156","7525.26288"
"7525.26288","7227.84384","7323.2424"
"7323.2424","6961.6008","8053.69608"
